13,Agricultural Contractor,"<b>This is an example job created for the PONToon Project, this is not a real job posting.</b> As an agricultural contractor you will be responsible for hiring seasonal or temporary agricultural laborers. You may also be required to transport, accommodate and provide meals for these workers.",1,17260,1,5,Portsmouth,TRUE,50.7984258,-1.1032027,20/12/2020
17,Agricultural Engineer,"<b>This is an example job created for the PONToon Project, this is not a real job posting.</b>As an agricultural engineer you will have to fix problems that concern power, machinery, electrification, soil and water conservation. You are also responsible for the processing of agricultural products.",1,1438.5,2,4,Southsea,TRUE,50.7985851,-1.1042065,21/12/2020
17,Agricultural Inspector,"<b>This is an example job created for the PONToon Project, this is not a real job posting.</b>You will have to inspect agricultural communities, processing equipment and facilities to ensure compliance with regulations and laws governing health, quality and safety.",2,332,3,3,Fratton,TRUE,50.7986858,-1.1052027,22/12/2020
30,Air Cabin Crew,"<b>This is an example job created for the PONToon Project, this is not a real job posting.</b>Air cabin crew ensure the safety and comfort of the on board passengers while also providing excellent customer service.",2,68.8,1,2,Southsea,TRUE,50.7987851,-1.1062065,23/12/2020
30,Air Traffic Controller,"<b>This is an example job created for the PONToon Project, this is not a real job posting.</b>As an air traffic controller you will need to give landing and taking off instructions to pilots, monitor and direct the movement of the aircrafts on the ground and in the air using radar, computer and visual references. You are also be in charge of all ground traffic at a airport including baggage vehicles and airport workers.",1,8.6,2,1,Gosport,TRUE,50.7945338,-1.1203794,24/12/2020
30,Airline Pilot,"<b>This is an example job created for the PONToon Project, this is not a real job posting.</b>As an airline pilot you will fly commercial or passenger aircrafts on national or international routes. An aircraft is typically flown by a captain and a co-pilot.",1,38000,1,5,southampton,TRUE,50.79552792,-1.11874558,25/12/2020
30,Airport Baggage Handler,"<b>This is an example job created for the PONToon Project, this is not a real job posting.</b>You will have to transport, load and unload luggage and cargo from and to aircraft. You will be responsible for checking the luggage against a flight list and taking it to the appropriate aircraft or the reclaim conveyor belt.",2,14,1,1,southampton,TRUE,50.79476952,-1.12238092,26/12/2020
30,Airport Information Assistant,"<b>This is an example job created for the PONToon Project, this is not a real job posting.</b>You will make passenger announcements about flights, deal with enquiries and help people find their way around the airport terminals.",3,13.3,1,1,Southampton,TRUE,50.79401112,-1.12601626,27/12/2020
22,Auto Electrician,"<b>This is an example job created for the PONToon Project, this is not a real job posting.</b>As an auto electrician you will focus on the electrical parts of the car. You will have to install repairm wire and maintain all electrical components in the vehicle.",2,20000,1,5,eastleigh,TRUE,50.79325272,-1.1296516,28/12/2020
22,Automotive Engineer,"<b>This is an example job created for the PONToon Project, this is not a real job posting.</b>You will be in charge of designing new vehicles or modifying existing ones such as passenger cars, trucks, buses, motorcycles as well as troubleshooting and solving of engineering problems.",2,24000,1,5,eastleigh,TRUE,50.79249432,-1.13328694,29/12/2020
